"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign.,""
Aguascalientes ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  34 , 1 329 ,  845 , 1 818 , 1 227 , 1 722 ,  0 , 6 975
Baja California ,N.A. ,N.A. ,N.A. ,  17 ,  44 ,  148 , 3 973 , 2 468 , 5 254 , 2 418 , 3 358 ,  11 , 17 691
Baja California Sur ,N.A. ,N.A. ,N.A. ,  0 ,  2 ,  24 ,  712 ,  306 ,  622 ,  188 ,  240 ,  0 , 2 094
Campeche ,N.A. ,N.A. ,N.A. ,  0 ,  6 ,  19 ,  587 ,  303 ,  546 ,  214 ,  329 ,  2 , 2 006
Coahuila ,N.A. ,N.A. ,N.A. ,  8 ,  21 ,  151 , 2 475 , 1 618 , 2 954 , 1 406 , 2 211 ,  26 , 10 870
Colima ,N.A. ,N.A. ,N.A. ,  1 ,  2 ,  15 ,  441 ,  246 ,  536 ,  227 ,  302 ,  4 , 1 774
Chiapas ,N.A. ,N.A. ,N.A. ,  3 ,  8 ,  86 , 2 396 , 1 637 , 3 648 , 1 481 , 2 556 ,  26 , 11 841
Chihuahua ,N.A. ,N.A. ,N.A. ,  3 ,  6 ,  111 , 3 419 , 2 035 , 4 548 , 1 594 , 2 746 ,  1 , 14 463
Distrito Federal ,N.A. ,N.A. ,N.A. ,  3 ,  42 ,  214 , 5 513 , 3 878 , 7 922 , 3 813 , 5 293 ,  41 , 26 719
Durango ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  56 , 1 297 , 1 075 , 2 656 , 1 037 , 1 664 ,  0 , 7 785
Guanajuato ,N.A. ,N.A. ,N.A. ,  8 ,  14 ,  167 , 3 393 , 1 939 , 3 927 , 1 661 , 2 640 ,  7 , 13 756
Guerrero ,N.A. ,N.A. ,N.A. ,  3 ,  21 ,  98 , 3 157 , 2 054 , 3 928 , 1 693 , 2 590 ,  16 , 13 560
Hidalgo ,N.A. ,N.A. ,N.A. ,  6 ,  17 ,  91 , 1 829 , 1 310 , 2 475 , 1 139 , 1 844 ,  8 , 8 719
Jalisco ,N.A. ,N.A. ,N.A. ,  3 ,  7 ,  240 , 5 758 , 3 082 , 7 670 , 3 429 , 6 326 ,  96 , 26 611
México ,N.A. ,N.A. ,N.A. ,  1 ,  148 ,  719 , 11 875 , 7 971 , 16 726 , 7 667 , 11 468 ,  99 , 56 674
Michoacán ,N.A. ,N.A. ,N.A. ,  0 ,  1 ,  77 , 2 165 , 1 555 , 3 546 , 1 887 , 3 053 ,  16 , 12 300
Morelos ,N.A. ,N.A. ,N.A. ,  136 ,  128 ,  126 , 1 704 , 1 491 , 3 310 , 1 719 , 2 738 ,  32 , 11 384
Nayarit ,N.A. ,N.A. ,N.A. ,  0 ,  4 ,  29 ,  607 ,  427 , 1 017 ,  509 , 1 081 ,  5 , 3 679
Nuevo León ,N.A. ,N.A. ,N.A. ,  9 ,  26 ,  154 , 4 286 , 2 302 , 4 815 , 1 880 , 2 478 ,  4 , 15 954
Oaxaca ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  120 , 2 612 , 1 681 , 3 387 , 1 350 , 2 396 ,  35 , 11 581
Puebla ,N.A. ,N.A. ,N.A. ,  5 ,  32 ,  115 , 2 599 , 1 791 , 4 021 , 1 860 , 3 010 ,  27 , 13 460
Querétaro ,N.A. ,N.A. ,N.A. ,  1 ,  0 ,  47 , 1 366 ,  660 , 1 492 ,  457 ,  854 ,  0 , 4 877
Quintana Roo ,N.A. ,N.A. ,N.A. ,  1 ,  6 ,  34 , 1 119 ,  595 ,  975 ,  307 ,  407 ,  0 , 3 444
San Luis Potosí ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  85 , 2 546 , 1 518 , 3 399 , 1 259 , 2 341 ,  0 , 11 148
Sinaloa ,N.A. ,N.A. ,N.A. ,  0 ,  0 ,  133 , 3 561 , 2 291 , 5 656 , 2 218 , 3 749 ,  2 , 17 610
Sonora ,N.A. ,N.A. ,N.A. ,  1 ,  4 ,  69 , 2 292 , 1 434 , 3 182 , 1 234 , 1 811 ,  16 , 10 043
Tabasco ,N.A. ,N.A. ,N.A. ,  3 ,  19 ,  61 , 2 015 , 1 155 , 2 223 ,  848 , 1 181 ,  1 , 7 506
Tamaulipas ,N.A. ,N.A. ,N.A. ,  9 ,  28 ,  109 , 2 815 , 1 717 , 3 758 , 2 525 , 2 977 ,  64 , 14 002
Tlaxcala ,N.A. ,N.A. ,N.A. ,  1 ,  2 ,  17 ,  650 ,  514 , 1 180 ,  535 ,  733 ,  3 , 3 635
Veracruz ,N.A. ,N.A. ,N.A. ,  0 ,  28 ,  179 , 5 139 , 3 379 , 7 621 , 3 408 , 5 505 ,  53 , 25 312
Yucatán ,N.A. ,N.A. ,N.A. ,  2 ,  6 ,  43 , 1 138 ,  895 , 1 727 ,  700 , 1 062 ,  17 , 5 590
Zacatecas ,N.A. ,N.A. ,N.A. ,  0 ,  1 ,  36 , 1 032 ,  662 , 1 220 ,  445 ,  732 ,  1 , 4 129
TOTAL GLOBAL ,  0 ,  0 ,  0 ,  224 ,  623 , 3 607 , 85 800 , 54 834 , 117 759 , 52 335 , 81 397 ,  613 , 397 192
