"",< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  23 ,  876 ,  610 , 1 201 ,  709 ,  911 ,  0 , 4 330
Baja California ,  1 ,  2 ,  3 ,  6 ,  22 ,  119 , 2 119 , 1 321 , 2 711 , 1 171 , 1 651 ,  11 , 9 137
Baja California Sur ,  0 ,  0 ,  0 ,  2 ,  4 ,  27 ,  523 ,  194 ,  375 ,  89 ,  119 ,  0 , 1 333
Campeche ,  0 ,  0 ,  1 ,  2 ,  2 ,  22 ,  442 ,  252 ,  347 ,  122 ,  164 ,  1 , 1 355
Coahuila ,  0 ,  3 ,  1 ,  10 ,  5 ,  74 , 2 014 , 1 404 , 2 052 , 1 133 , 1 459 ,  10 , 8 165
Colima ,  0 ,  0 ,  0 ,  0 ,  3 ,  9 ,  249 ,  153 ,  268 ,  107 ,  134 ,  0 ,  923
Chiapas ,  2 ,  4 ,  1 ,  7 ,  27 ,  64 , 1 681 , 1 105 , 2 388 ,  963 , 1 652 ,  4 , 7 898
Chihuahua ,  0 ,  2 ,  3 ,  11 ,  31 ,  115 , 2 636 , 1 499 , 3 466 , 1 211 , 2 020 ,  0 , 10 994
Distrito Federal ,  0 ,  0 ,  2 ,  12 ,  41 ,  163 , 3 093 , 2 259 , 4 714 , 2 297 , 3 181 ,  2 , 15 764
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  27 ,  887 ,  691 , 1 419 ,  582 ,  996 ,  0 , 4 602
Guanajuato ,  0 ,  1 ,  0 ,  3 ,  24 ,  91 , 2 090 , 1 213 , 2 399 ,  859 , 1 515 ,  5 , 8 200
Guerrero ,  0 ,  0 ,  4 ,  2 ,  20 ,  58 , 1 659 , 1 107 , 2 152 ,  908 , 1 387 ,  19 , 7 316
Hidalgo ,  0 ,  2 ,  0 ,  5 ,  19 ,  70 , 1 242 ,  844 , 1 747 ,  709 , 1 139 ,  5 , 5 782
Jalisco ,  3 ,  1 ,  7 ,  21 ,  57 ,  203 , 3 515 , 2 058 , 4 961 , 2 311 , 4 267 ,  23 , 17 427
México ,  1 ,  0 ,  1 ,  4 ,  160 ,  401 , 7 536 , 4 915 , 10 241 , 4 373 , 6 860 ,  92 , 34 584
Michoacán ,  0 ,  0 ,  0 ,  0 ,  19 ,  107 , 1 313 ,  939 , 1 845 ,  897 , 1 642 ,  19 , 6 781
Morelos ,  0 ,  1 ,  2 ,  12 ,  6 ,  67 ,  960 ,  747 , 1 719 ,  900 , 1 323 ,  3 , 5 740
Nayarit ,  1 ,  0 ,  1 ,  1 ,  3 ,  19 ,  440 ,  276 ,  705 ,  390 ,  817 ,  1 , 2 654
Nuevo León ,  0 ,  0 ,  4 ,  4 ,  15 ,  119 , 2 383 , 1 332 , 2 700 ,  980 , 1 277 ,  3 , 8 817
Oaxaca ,  4 ,  1 ,  3 ,  10 ,  15 ,  65 , 1 829 , 1 190 , 2 273 ,  919 , 1 574 ,  106 , 7 989
Puebla ,  0 ,  0 ,  2 ,  3 ,  24 ,  63 , 1 844 , 1 286 , 2 829 , 1 133 , 2 196 ,  3 , 9 383
Querétaro ,  0 ,  0 ,  0 ,  0 ,  10 ,  31 ,  910 ,  463 ,  965 ,  293 ,  545 ,  0 , 3 217
Quintana Roo ,  0 ,  0 ,  0 ,  0 ,  3 ,  19 ,  556 ,  279 ,  488 ,  169 ,  191 ,  1 , 1 706
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  10 ,  66 , 1 726 , 1 063 , 2 085 ,  856 , 1 260 ,  0 , 7 066
Sinaloa ,  0 ,  0 ,  5 ,  6 ,  30 ,  78 , 2 238 , 1 395 , 3 350 , 1 330 , 2 117 ,  7 , 10 556
Sonora ,  2 ,  1 ,  2 ,  8 ,  19 ,  45 , 1 520 ,  782 , 1 877 ,  642 ,  973 ,  12 , 5 883
Tabasco ,  0 ,  0 ,  2 ,  4 ,  10 ,  54 , 1 373 ,  740 , 1 489 ,  540 ,  807 ,  6 , 5 025
Tamaulipas ,  0 ,  0 ,  1 ,  8 ,  46 ,  181 , 1 978 , 1 347 , 2 313 , 1 214 , 1 420 ,  20 , 8 528
Tlaxcala ,  0 ,  0 ,  0 ,  2 ,  8 ,  20 ,  449 ,  330 ,  768 ,  279 ,  441 ,  1 , 2 298
Veracruz ,  0 ,  1 ,  2 ,  14 ,  23 ,  147 , 3 358 , 2 237 , 4 592 , 2 205 , 3 494 ,  19 , 16 092
Yucatán ,  1 ,  5 ,  2 ,  8 ,  8 ,  46 ,  794 ,  535 ,  981 ,  504 ,  703 ,  3 , 3 590
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  1 ,  29 ,  590 ,  481 ,  822 ,  270 ,  436 ,  4 , 2 633
TOTAL GLOBAL ,  15 ,  24 ,  49 ,  165 ,  665 , 2 622 , 54 823 , 35 047 , 72 242 , 31 065 , 48 671 ,  380 , 245 768
