Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  1 ,  0 ,  3 ,  13 ,  420 ,  264 ,  349 ,  216 ,  215 ,  0 , 1 481
Baja California ,  1 ,  2 ,  7 ,  9 ,  10 ,  35 , 1 236 ,  652 , 1 441 ,  632 ,  937 ,  15 , 4 977
Baja California Sur ,  0 ,  0 ,  0 ,  3 ,  0 ,  12 ,  335 ,  122 ,  318 ,  123 ,  200 ,  1 , 1 114
Campeche ,  0 ,  6 ,  9 ,  6 ,  4 ,  11 ,  181 ,  113 ,  184 ,  74 ,  114 ,  0 ,  702
Coahuila ,  0 ,  0 ,  4 ,  8 ,  7 ,  40 , 1 072 ,  682 , 1 494 ,  839 , 1 147 ,  21 , 5 314
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  245 ,  144 ,  287 ,  141 ,  241 ,  0 , 1 059
Chiapas ,  0 ,  1 ,  0 ,  3 ,  12 ,  24 ,  939 ,  660 , 1 177 ,  568 ,  855 ,  11 , 4 250
Chihuahua ,  0 ,  1 ,  3 ,  2 ,  8 ,  37 , 1 597 ,  829 , 1 814 ,  770 , 1 455 ,  3 , 6 519
Distrito Federal ,  0 ,  0 ,  0 ,  4 ,  17 ,  95 , 2 572 , 2 116 , 4 159 , 2 059 , 3 191 ,  3 , 14 216
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  15 ,  504 ,  335 ,  709 ,  365 ,  604 ,  0 , 2 532
Guanajuato ,  0 ,  0 ,  2 ,  2 ,  7 ,  55 , 1 301 ,  848 , 1 631 ,  784 , 1 343 ,  3 , 5 976
Guerrero ,  0 ,  1 ,  2 ,  0 ,  5 ,  35 , 1 039 ,  634 , 1 556 ,  676 , 1 197 ,  26 , 5 171
Hidalgo ,  0 ,  0 ,  1 ,  1 ,  2 ,  27 ,  602 ,  404 ,  767 ,  324 ,  616 ,  2 , 2 746
Jalisco ,  9 ,  10 ,  15 ,  26 ,  44 ,  110 , 2 665 , 1 717 , 3 728 , 1 998 , 3 559 ,  49 , 13 930
México ,  3 ,  5 ,  4 ,  21 ,  59 ,  148 , 4 138 , 2 826 , 5 568 , 2 997 , 4 208 ,  60 , 20 037
Michoacán ,  0 ,  0 ,  0 ,  1 ,  7 ,  26 ,  826 ,  674 , 1 360 ,  795 , 1 379 ,  16 , 5 084
Morelos ,  0 ,  0 ,  1 ,  0 ,  4 ,  31 ,  741 ,  657 , 1 226 ,  695 ,  959 ,  10 , 4 324
Nayarit ,  0 ,  0 ,  0 ,  1 ,  5 ,  16 ,  282 ,  156 ,  352 ,  197 ,  404 ,  1 , 1 414
Nuevo León ,  1 ,  1 ,  5 ,  9 ,  26 ,  57 , 1 628 ,  829 , 1 808 ,  807 , 1 318 ,  18 , 6 507
Oaxaca ,  0 ,  2 ,  1 ,  0 ,  7 ,  28 , 1 072 ,  679 , 1 289 ,  582 ,  950 ,  6 , 4 616
Puebla ,  0 ,  3 ,  0 ,  2 ,  11 ,  23 , 1 094 ,  823 , 2 026 , 1 336 , 2 138 ,  13 , 7 469
Querétaro ,  0 ,  0 ,  0 ,  0 ,  0 ,  8 ,  462 ,  225 ,  465 ,  180 ,  309 ,  0 , 1 649
Quintana Roo ,  0 ,  0 ,  0 ,  0 ,  1 ,  17 ,  381 ,  181 ,  332 ,  111 ,  164 ,  2 , 1 189
San Luis Potosí ,  0 ,  0 ,  0 ,  0 ,  1 ,  32 , 1 005 ,  529 , 1 104 ,  417 ,  851 ,  0 , 3 939
Sinaloa ,  0 ,  0 ,  4 ,  0 ,  8 ,  40 , 1 122 ,  735 , 1 856 ,  847 , 1 600 ,  12 , 6 224
Sonora ,  0 ,  1 ,  2 ,  5 ,  8 ,  19 ,  650 ,  389 , 1 012 ,  439 ,  897 ,  6 , 3 428
Tabasco ,  0 ,  2 ,  0 ,  5 ,  6 ,  35 ,  851 ,  522 ,  928 ,  375 ,  520 ,  6 , 3 250
Tamaulipas ,  49 ,  1 ,  1 ,  3 ,  5 ,  21 , 1 205 ,  647 , 1 327 ,  588 , 1 028 ,  7 , 4 882
Tlaxcala ,  0 ,  0 ,  0 ,  0 ,  3 ,  8 ,  299 ,  212 ,  451 ,  237 ,  409 ,  3 , 1 622
Veracruz ,  0 ,  0 ,  1 ,  1 ,  6 ,  58 , 1 860 , 1 000 , 2 360 , 1 051 , 1 747 ,  3 , 8 087
Yucatán ,  0 ,  0 ,  0 ,  0 ,  8 ,  10 ,  840 ,  406 , 1 036 ,  522 ,  814 ,  5 , 3 641
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  1 ,  10 ,  379 ,  186 ,  475 ,  210 ,  382 ,  0 , 1 643
T OTAL GLOBAL ,  63 ,  36 ,  63 ,  112 ,  285 , 1 097 , 33 543 , 21 196 , 44 589 , 21 955 , 35 751 ,  302 , 158 992
