Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,0 ,0 ,0 ,0 ,0 ,15 ,625 ,369 ,671 ,281 ,405 ,53 ,2419
Baja California ,0 ,2 ,7 ,11 ,32 ,110 ,1701 ,825 ,2271 ,986 ,1500 ,11 ,7456
Baja California Sur ,0 ,0 ,0 ,1 ,6 ,14 ,309 ,175 ,349 ,160 ,229 ,2 ,1245
Campeche ,0 ,0 ,0 ,0 ,3 ,27 ,436 ,228 ,485 ,198 ,220 ,0 ,1597
Coahuila ,5 ,5 ,3 ,2 ,13 ,87 ,2205 ,1367 ,3107 ,1411 ,2135 ,13 ,10353
Colima ,0 ,0 ,0 ,0 ,0 ,7 ,263 ,140 ,321 ,137 ,187 ,2 ,1057
Chiapas ,4 ,6 ,4 ,3 ,30 ,62 ,1665 ,1233 ,2376 ,1123 ,1554 ,13 ,8073
Chihuahua ,0 ,1 ,0 ,0 ,12 ,91 ,1838 ,986 ,2913 ,1240 ,2144 ,6 ,9231
Distrito Federal ,0 ,0 ,1 ,2 ,40 ,154 ,4297 ,3336 ,6898 ,3422 ,6026 ,43 ,24219
Durango ,0 ,0 ,0 ,0 ,0 ,27 ,1227 ,813 ,1857 ,902 ,1378 ,14 ,6218
Guanajuato ,0 ,0 ,0 ,3 ,10 ,96 ,2494 ,1482 ,3564 ,1680 ,2631 ,7 ,11967
Guerrero ,0 ,0 ,0 ,1 ,6 ,58 ,2041 ,1341 ,2596 ,1130 ,1880 ,59 ,9112
Hidalgo ,0 ,0 ,0 ,0 ,2 ,20 ,788 ,551 ,914 ,460 ,728 ,1 ,3464
Jalisco ,11 ,5 ,8 ,19 ,34 ,127 ,3842 ,2392 ,6421 ,3226 ,5858 ,237 ,22180
México ,5 ,7 ,7 ,19 ,36 ,229 ,5521 ,3926 ,7722 ,4118 ,5566 ,65 ,27221
Michoacán ,0 ,1 ,0 ,7 ,12 ,36 ,1107 ,719 ,1676 ,872 ,1393 ,7 ,5830
Morelos ,0 ,0 ,1 ,0 ,7 ,18 ,1086 ,931 ,1777 ,920 ,1371 ,140 ,6251
Nayarit ,0 ,0 ,0 ,0 ,6 ,9 ,398 ,308 ,774 ,390 ,742 ,3 ,2630
Nuevo León ,5 ,10 ,6 ,14 ,26 ,126 ,1935 ,1167 ,2336 ,1115 ,1779 ,53 ,8572
Oaxaca ,0 ,0 ,2 ,1 ,5 ,88 ,1402 ,942 ,1579 ,780 ,897 ,6 ,5702
Puebla ,1 ,4 ,2 ,8 ,23 ,100 ,2006 ,1604 ,3374 ,1751 ,3155 ,52 ,12080
Querétaro ,0 ,0 ,0 ,0 ,1 ,22 ,900 ,529 ,988 ,387 ,639 ,3 ,3469
Quintana Roo ,0 ,0 ,0 ,0 ,1 ,21 ,319 ,180 ,240 ,101 ,90 ,1 ,953
San Luis Potosí ,0 ,0 ,0 ,0 ,3 ,58 ,1567 ,958 ,1934 ,864 ,1394 ,16 ,6794
Sinaloa ,0 ,0 ,0 ,0 ,1 ,51 ,1093 ,1014 ,2269 ,1123 ,1851 ,7 ,7409
Sonora ,0 ,0 ,0 ,0 ,15 ,58 ,1563 ,1021 ,2038 ,864 ,1229 ,6 ,6794
Tabasco ,0 ,0 ,4 ,5 ,9 ,78 ,1266 ,691 ,1215 ,465 ,680 ,4 ,4417
Tamaulipas ,16 ,42 ,20 ,22 ,17 ,67 ,2118 ,1164 ,2605 ,1119 ,1908 ,8 ,9106
Tlaxcala ,0 ,0 ,0 ,1 ,4 ,15 ,443 ,260 ,502 ,242 ,362 ,0 ,1829
Veracruz ,2 ,2 ,4 ,6 ,15 ,84 ,2830 ,1645 ,3373 ,1402 ,1917 ,16 ,11296
Yucatán ,0 ,0 ,0 ,2 ,7 ,22 ,1156 ,718 ,1825 ,806 ,1294 ,4 ,5834
Zacatecas ,0 ,0 ,0 ,0 ,0 ,36 ,707 ,352 ,826 ,355 ,590 ,2 ,2868
T OTAL GLOBAL ,49 ,85 ,69 ,127 ,376 ,2013 ,51148 ,33367 ,71796 ,34030 ,53732 ,854 ,247646
