Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  565 ,  292 ,  680 ,  247 ,  340 ,  0 , 2 124
Baja California ,  0 ,  1 ,  5 ,  11 ,  23 ,  135 , 1 641 ,  951 , 2 077 ,  920 , 1 409 ,  53 , 7 226
Baja California Sur ,  1 ,  0 ,  0 ,  2 ,  4 ,  19 ,  365 ,  151 ,  380 ,  100 ,  156 ,  0 , 1 178
Campeche ,  1 ,  0 ,  0 ,  1 ,  4 ,  11 ,  378 ,  266 ,  403 ,  149 ,  175 ,  48 , 1 436
Coahuila ,  0 ,  0 ,  4 ,  5 ,  14 ,  115 , 1 969 , 1 419 , 2 668 , 1 418 , 1 913 ,  154 , 9 679
Colima ,  0 ,  0 ,  0 ,  0 ,  1 ,  3 ,  251 ,  175 ,  355 ,  128 ,  190 ,  0 , 1 103
Chiapas ,  0 ,  0 ,  0 ,  1 ,  15 ,  52 , 1 586 , 1 135 , 2 134 ,  816 , 1 329 ,  70 , 7 138
Chihuahua ,  0 ,  1 ,  0 ,  4 ,  12 ,  101 , 2 899 , 1 699 , 3 398 , 1 302 , 2 286 ,  2 , 11 704
Distrito Federal ,  0 ,  0 ,  0 ,  2 ,  40 ,  177 , 3 669 , 2 784 , 5 983 , 2 749 , 4 181 ,  164 , 19 749
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  19 ,  844 ,  568 , 1 244 ,  506 ,  927 ,  0 , 4 108
Guanajuato ,  0 ,  0 ,  0 ,  0 ,  18 ,  119 , 2 458 , 1 459 , 3 220 , 1 353 , 2 183 ,  0 , 10 810
Guerrero ,  0 ,  0 ,  4 ,  1 ,  14 ,  61 , 1 717 , 1 111 , 2 186 ,  918 , 1 671 ,  59 , 7 742
Hidalgo ,  0 ,  1 ,  1 ,  2 ,  18 ,  38 ,  981 ,  743 , 1 405 ,  576 ,  884 ,  3 , 4 652
Jalisco ,  6 ,  3 ,  9 ,  21 ,  59 ,  119 , 3 544 , 2 143 , 5 033 , 2 279 , 4 327 ,  17 , 17 560
México ,  0 ,  0 ,  0 ,  0 ,  0 ,  394 , 6 554 , 4 590 , 10 290 , 4 549 , 7 365 ,  80 , 33 822
Michoacán ,  0 ,  1 ,  0 ,  1 ,  7 ,  64 , 1 457 , 1 094 , 2 304 , 1 257 , 1 974 ,  22 , 8 181
Morelos ,  0 ,  2 ,  4 ,  11 ,  8 ,  31 , 1 376 ,  873 , 2 043 ,  981 , 1 610 ,  12 , 6 951
Nayarit ,  0 ,  0 ,  1 ,  1 ,  3 ,  23 ,  387 ,  261 ,  595 ,  254 ,  558 ,  0 , 2 083
Nuevo León ,  0 ,  1 ,  3 ,  8 ,  25 ,  123 , 2 523 , 1 587 , 3 138 , 1 227 , 1 771 ,  37 , 10 443
Oaxaca ,  1 ,  0 ,  1 ,  3 ,  20 ,  63 , 1 759 , 1 226 , 2 183 ,  852 , 1 441 ,  5 , 7 554
Puebla ,  0 ,  0 ,  0 ,  2 ,  17 ,  45 , 1 778 , 1 330 , 3 050 , 1 631 , 2 705 ,  1 , 10 559
Querétaro ,  0 ,  0 ,  1 ,  0 ,  0 ,  4 ,  799 ,  394 ,  878 ,  314 ,  566 ,  0 , 2 956
Quintana Roo ,  0 ,  0 ,  2 ,  0 ,  2 ,  20 ,  586 ,  353 ,  634 ,  185 ,  309 ,  0 , 2 091
San Luis Potosí ,  0 ,  0 ,  2 ,  0 ,  1 ,  90 , 1 614 ,  955 , 1 939 ,  817 , 1 395 ,  0 , 6 813
Sinaloa ,  0 ,  0 ,  0 ,  0 ,  17 ,  87 , 1 473 , 1 183 , 2 775 , 1 187 , 1 922 ,  52 , 8 696
Sonora ,  0 ,  0 ,  0 ,  0 ,  0 ,  50 , 1 071 ,  601 , 1 525 ,  570 , 1 030 ,  162 , 5 009
Tabasco ,  0 ,  3 ,  3 ,  3 ,  18 ,  59 , 1 387 ,  801 , 1 476 ,  514 ,  845 ,  3 , 5 112
Tamaulipas ,  0 ,  0 ,  0 ,  2 ,  24 ,  52 , 1 778 , 1 151 , 2 392 , 1 028 , 1 457 ,  0 , 7 884
Tlaxcala ,  0 ,  0 ,  0 ,  2 ,  1 ,  11 ,  454 ,  310 ,  662 ,  281 ,  523 ,  1 , 2 245
Veracruz ,  0 ,  3 ,  5 ,  4 ,  21 ,  112 , 3 187 , 1 906 , 4 149 , 1 647 , 2 784 ,  180 , 13 998
Yucatán ,  0 ,  0 ,  0 ,  0 ,  11 ,  27 , 1 047 ,  692 , 1 712 ,  845 , 1 243 ,  2 , 5 579
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  1 ,  29 ,  639 ,  395 ,  842 ,  344 ,  541 ,  1 , 2 792
TOTAL GLOBAL ,  9 ,  16 ,  45 ,  87 ,  398 , 2 253 , 52 736 , 34 598 , 73 753 , 31 944 , 52 010 , 1 128 , 248 977
