Estado ,< 1 , 1 - 4 , 5 - 9 , 10 - 14 , 15 - 19 , 20 - 24 , 25 - 44 , 45 - 49 , 50 - 59 , 60 - 64 ,65 y + ,Ign. ,Total
Aguascalientes ,  0 ,  0 ,  0 ,  0 ,  0 ,  15 ,  519 ,  367 ,  684 ,  319 ,  453 ,  0 , 2 357
Baja California ,  4 ,  1 ,  1 ,  11 ,  15 ,  131 , 1 505 ,  906 , 2 005 ,  925 , 1 329 ,  17 , 6 850
Baja California Sur ,  0 ,  0 ,  0 ,  0 ,  4 ,  1 ,  289 ,  103 ,  251 ,  96 ,  103 ,  0 ,  847
Campeche ,  0 ,  1 ,  0 ,  0 ,  3 ,  12 ,  218 ,  186 ,  275 ,  82 ,  129 ,  1 ,  907
Coahuila ,  0 ,  2 ,  1 ,  1 ,  4 ,  50 , 1 070 ,  719 , 1 707 ,  851 , 1 150 ,  49 , 5 604
Colima ,  0 ,  0 ,  0 ,  0 ,  0 ,  5 ,  234 ,  97 ,  231 ,  92 ,  146 ,  2 ,  807
Chiapas ,  0 ,  1 ,  6 ,  5 ,  14 ,  20 , 1 006 ,  655 , 1 402 ,  565 , 1 034 ,  21 , 4 729
Chihuahua ,  0 ,  1 ,  2 ,  16 ,  7 ,  35 , 1 919 , 1 009 , 2 118 ,  909 , 1 617 ,  2 , 7 635
Distrito Federal ,  0 ,  1 ,  3 ,  4 ,  16 ,  85 , 2 817 , 1 920 , 4 085 , 2 269 , 3 131 ,  14 , 14 345
Durango ,  0 ,  0 ,  0 ,  0 ,  0 ,  15 ,  628 ,  442 ,  967 ,  405 ,  883 ,  0 , 3 340
Guanajuato ,  0 ,  0 ,  2 ,  3 ,  11 ,  45 , 1 572 ,  873 , 1 833 ,  865 , 1 374 ,  0 , 6 578
Guerrero ,  0 ,  0 ,  0 ,  3 ,  8 ,  31 , 1 105 ,  693 , 1 555 ,  646 , 1 036 ,  41 , 5 118
Hidalgo ,  0 ,  0 ,  1 ,  2 ,  9 ,  24 ,  494 ,  340 ,  801 ,  431 ,  629 ,  0 , 2 731
Jalisco ,  1 ,  2 ,  3 ,  8 ,  23 ,  91 , 2 659 , 1 710 , 3 654 , 1 897 , 3 390 ,  34 , 13 472
México ,  2 ,  2 ,  9 ,  9 ,  48 ,  213 , 4 796 , 3 281 , 6 768 , 3 530 , 5 022 ,  71 , 23 751
Michoacán ,  0 ,  0 ,  6 ,  0 ,  0 ,  31 ,  950 ,  726 , 1 724 , 1 023 , 1 842 ,  16 , 6 318
Morelos ,  0 ,  0 ,  1 ,  4 ,  1 ,  23 ,  694 ,  518 , 1 175 ,  629 , 1 119 ,  5 , 4 169
Nayarit ,  0 ,  0 ,  0 ,  0 ,  0 ,  11 ,  333 ,  191 ,  462 ,  176 ,  344 ,  3 , 1 520
Nuevo León ,  0 ,  2 ,  7 ,  13 ,  17 ,  61 , 1 618 ,  942 , 1 965 ,  983 , 1 451 ,  7 , 7 066
Oaxaca ,  0 ,  0 ,  2 ,  2 ,  5 ,  41 , 1 121 ,  703 , 1 387 ,  675 , 1 068 ,  7 , 5 011
Puebla ,  0 ,  1 ,  1 ,  3 ,  11 ,  37 , 1 138 ,  856 , 1 940 ,  971 , 1 683 ,  5 , 6 646
Querétaro ,  0 ,  0 ,  0 ,  0 ,  1 ,  8 ,  617 ,  316 ,  693 ,  232 ,  432 ,  0 , 2 299
Quintana Roo ,  0 ,  1 ,  1 ,  2 ,  2 ,  19 ,  441 ,  221 ,  351 ,  137 ,  170 ,  0 , 1 345
San Luis Potosí ,  0 ,  0 ,  0 ,  1 ,  2 ,  37 , 1 116 ,  649 , 1 323 ,  633 , 1 012 ,  0 , 4 773
Sinaloa ,  0 ,  0 ,  0 ,  0 ,  8 ,  17 , 1 087 ,  651 , 1 820 ,  817 , 1 323 ,  2 , 5 725
Sonora ,  1 ,  0 ,  0 ,  3 ,  4 ,  27 ,  852 ,  516 , 1 219 ,  479 ,  926 ,  3 , 4 030
Tabasco ,  0 ,  0 ,  1 ,  3 ,  3 ,  23 ,  858 ,  516 , 1 002 ,  402 ,  511 ,  2 , 3 321
Tamaulipas ,  0 ,  4 ,  4 ,  3 ,  8 ,  49 , 1 202 ,  890 , 1 545 ,  997 , 1 399 ,  5 , 6 106
Tlaxcala ,  0 ,  0 ,  0 ,  0 ,  2 ,  5 ,  287 ,  192 ,  492 ,  221 ,  475 ,  3 , 1 677
Veracruz ,  0 ,  2 ,  0 ,  6 ,  17 ,  49 , 1 848 , 1 153 , 2 785 , 1 272 , 2 132 ,  4 , 9 268
Yucatán ,  0 ,  0 ,  0 ,  0 ,  6 ,  17 ,  764 ,  371 ,  974 ,  501 ,  779 ,  4 , 3 416
Zacatecas ,  0 ,  0 ,  0 ,  0 ,  0 ,  9 ,  402 ,  245 ,  511 ,  180 ,  398 ,  1 , 1 746
TOTAL GLOBAL ,  8 ,  21 ,  51 ,  102 ,  249 , 1 237 , 36 159 , 22 957 , 49 704 , 24 210 , 38 490 ,  319 , 173 507
